cmd,type,data
1,R,
2,R,
3,R,
4,R,
0x60,W,"*.TXT"
5,R,
6,R,
7,R,
8,R,
9,R,
0x60,W,"BDOT_P.C"
0x60,W,"EXEH*.*"
0x0a,R,
0x0b,R,
0x0c,R,
0x40,R,
1,W,0001
2,W,0207
0x31,W,
0x60,W,"BDOT_P.C"
